customer_id,first_name,last_name,gender,birth_year,customer_segment,kyc_status,signup_date,acquisition_channel,home_governorate,home_city
C000030,Sara,Abdelaziz,Female,2005,Youth,Verified,2022-08-11,Organic,Port Said,Port Fouad - Central
C000031,Nada,Ibrahim,Female,1986,Mass,Verified,2024-05-08,Referral,Suez,Suez
C000032,Peter,Rizk,Male,1999,Youth,Verified,2023-02-28,Unknown,Beni Suef,New Beni Suef
C000033,Menna,Hassan,Female,1999,Mass,Verified,2026-04-26,Paid Social,Giza,Faisal
C000034,Ali,Gaber,Male,1972,Microbusiness,Verified,2024-04-21,Paid Social,Gharbia,Tanta
C000035,Ibrahim,Sayed,Male,2004,Youth,Verified,2025-08-19,Paid Social,Cairo,Nasr City - Central
C000036,Ahmed,Ibrahim,Male,1983,Mass,Verified,2022-06-24,Organic,Alexandria,Smouha
C000037,Nada,Soliman,Female,2003,Youth,Verified,2022-06-04,Organic,Cairo,Nasr City
C000038,Karim,Mansour,Male,1984,Affluent,Verified,2024-10-06,Organic,Dakahlia,Mit Ghamr - Central
C000039,Mahmoud,Abdelrahman,Male,1981,Mass,Pending Review,2023-03-11,Referral,Sharqia,Abu Hammad - Central
C000040,Khaled,Eid,Male,1990,Mass,Pending Review,2022-06-03,Referral,Giza,Sheikh Zayed
C000041,Mohamed,Abdelrahman,Male,1993,Affluent,Verified,2023-10-23,Paid Social,Cairo,New Cairo
C000042,Rana,Ahmed,Female,2005,Youth,Verified,2025-03-24,Corporate Campaign,Qalyubia,Qalyub
C000043,Heba,Ibrahim,Female,1980,Affluent,Verified,2026-04-12,Referral,Alexandria,Smouha
C000044,Salma,Abdelrahman,Female,1980,Affluent,Verified,2023-12-11,Paid Social,Cairo,Ain Shams
C000045,Amr,Farag,Male,1990,Microbusiness,Verified,2023-05-24,Organic,Dakahlia,Mit Ghamr
C000046,Menna,Helmy,Female,2004,Youth,Verified,2024-09-22,Organic,Cairo,Mokattam
C000047,Hatem,Mansour,Male,1986,Microbusiness,Verified,2024-02-11,Paid Social,Dakahlia,Belqas
C000048,Ali,Nassar,Male,1979,Mass,Verified,2024-06-13,Merchant Referral,Monufia,Sadat City - Central
C000049,Nada,Ali,Female,1989,Mass,Verified,2025-11-26,Referral,Luxor,Esna
C000050,Yasmin,Mostafa,Female,2000,Youth,Verified,2024-02-18,Agent Network,Cairo,Ain Shams - Central
C000051,Karim,Ibrahim,Male,1999,Mass,Verified,2022-01-12,Paid Social,Giza,Sheikh Zayed
C000052,Youssef,Hassan,Male,2006,Youth,Verified,2024-11-14,Organic,Beheira,Nubaria - Central
C000053,Karim,Salah,Male,2004,Youth,Verified,2023-05-16,Organic,Cairo,Downtown - Central
C000054,Mona,Hassan,Female,1999,Youth,Verified,2024-06-06,Referral,Cairo,New Cairo
C000055,Ibrahim,Samir,Male,1996,Mass,Verified,2024-12-17,Organic,Alexandria,Sidi Gaber
C000056,Fady,Mahmoud,Male,1977,Mass,Verified,2025-05-09,Agent Network,Cairo,Mokattam
C000057,Mohamed,Mostafa,Male,1983,Mass,Verified,2022-06-15,Organic,Giza,6th of October
C000058,Khaled,Helmy,Male,1999,Youth,Verified,2023-03-15,Referral,Cairo,Mokattam
C000059,Jana,Mansour,Female,1997,Youth,Verified,2022-12-27,Organic,Sharqia,Belbeis
C000060,Mina,Ali,Male,2002,Youth,Verified,2022-01-21,Paid Social,Alexandria,Sidi Gaber - Central
C000061,Hager,Mahmoud,Female,2004,Youth,Verified,2023-02-08,Organic,Monufia,Sadat City - Central
C000062,Jana,Ahmed,Female,1981,Mass,Verified,2023-08-17,Organic,Fayoum,Sinnuris - Central
C000063,Mina,Saad,Male,1988,Mass,Verified,2024-05-13,Referral,Giza,Mohandessin
C000064,Ibrahim,Sayed,Male,1984,Mass,Verified,2025-07-05,Merchant Referral,Qalyubia,Shubra El Kheima - Central
C000065,Ahmed,Mansour,Male,1988,Mass,Verified,2024-06-22,Referral,Giza,6th of October - Central
C000066,Rana,Ali,Female,1996,Mass,Verified,2025-01-06,Referral,Cairo,Shubra - Central
C000067,Aya,Fathy,Female,1980,Mass,Verified,2024-07-08,Organic,Fayoum,Ibshaway
C000068,Jana,Fathy,Female,1977,Mass,Verified,2022-12-02,Organic,Cairo,Maadi
C000069,Aya,Fouad,Female,1982,Mass,Verified,2023-08-16,Corporate Campaign,Cairo,Unknown
C000070,Reem,Saad,Female,1968,Affluent,Verified,2025-03-01,Organic,Giza,Dokki - Central
C000071,Omar,Fathy,Male,2006,Youth,Verified,2022-12-29,Organic,Giza,6th of October
C000072,Dina,Hassan,Female,2002,Youth,Verified,2025-10-12,Referral,Cairo,Ain Shams
C000073,Mariam,Eid,Female,1987,Mass,Verified,2022-12-20,Paid Social,Qalyubia,Khanka
C000074,Yasmin,Ibrahim,Female,1979,Mass,Verified,2024-10-31,Organic,Giza,Haram
C000075,Mina,Fathy,Male,1997,Mass,Verified,2023-08-13,Organic,Giza,Faisal - Central
C000076,Nada,Helmy,Female,1995,Mass,Verified,2024-04-03,Corporate Campaign,Qalyubia,Khanka
C000077,Esraa,Fouad,Female,2002,Youth,Pending Review,2022-03-06,Organic,Alexandria,Stanley
C000078,Nancy,Soliman,Female,1973,Affluent,Verified,2023-04-15,Merchant Referral,Beni Suef,Nasser - Central
C000079,Ali,Mansour,Male,1999,Mass,Verified,2023-03-07,Referral,New Valley,Kharga
C000080,Salma,Farag,Female,1977,Mass,Verified,2024-09-06,Paid Social,Cairo,Ain Shams - Central
C000081,Hassan,Saad,Male,2000,Youth,Verified,2024-03-07,Referral,Dakahlia,Mit Ghamr - Central
C000082,Ali,Salah,Male,2002,Youth,Verified,2024-02-05,Organic,Giza,6th of October
C000083,Ahmed,Saad,Male,2007,Youth,Verified,2024-12-28,Agent Network,Alexandria,Miami - Central
C000084,Omar,Soliman,Male,1978,Mass,Verified,2024-02-01,Merchant Referral,Gharbia,Tanta
C000085,Ibrahim,Mansour,Male,1976,Mass,Verified,2023-06-22,Paid Social,Sharqia,10th of Ramadan - Central
C000086,Mahmoud,Mostafa,Male,1975,Mass,Verified,2022-01-06,Organic,Qalyubia,Qalyub - Central
C000087,Rania,Hassan,Female,1996,Mass,Verified,2025-04-13,Organic,Alexandria,Smouha - Central
C000088,Rania,Eid,Female,2004,Youth,Verified,2024-08-06,Referral,Giza,Imbaba
C000089,Yasmin,Mahmoud,Female,1998,Mass,Verified,2022-10-03,Organic,Sharqia,Unknown
C000090,Farah,Nassar,Female,2001,Mass,Verified,2022-05-16,Organic,Qalyubia,Banha
C000091,Farah,Farag,Female,2000,Youth,Verified,2022-07-07,Organic,Cairo,Shubra - Central
C000092,Amr,Sayed,Male,1983,Affluent,Verified,2022-11-21,Referral,Giza,Sheikh Zayed
C000093,Reem,Helmy,Female,2005,Youth,Verified,2024-08-24,Referral,Dakahlia,Belqas - Central
C000094,Peter,Ali,Male,1988,Mass,Verified,2022-06-29,Agent Network,Giza,Dokki - Central
C000095,Peter,Hassan,Male,1994,Microbusiness,Verified,2024-07-24,Agent Network,Aswan,Aswan
C000096,Ali,Eid,Male,1994,Mass,Verified,2023-07-16,Organic,Cairo,Shubra - Central
C000097,Ahmed,Nassar,Male,2003,Youth,Verified,2023-03-07,Merchant Referral,Matrouh,Marsa Matrouh
C000098,Jana,Ashraf,Female,1983,Affluent,Verified,2024-03-30,Agent Network,Beni Suef,Beni Suef
C000099,Jana,Abdelaziz,Female,1990,Mass,Pending Review,2024-08-30,Agent Network,Cairo,Mokattam
C000100,Mina,Ahmed,Male,2000,Youth,Verified,2025-03-23,Paid Social,Cairo,New Cairo
C000101,Ahmed,Ibrahim,Male,1995,Mass,Verified,2022-02-22,Corporate Campaign,New Valley,Kharga
C000102,Ali,Mansour,Male,2003,Youth,Verified,2023-10-17,Agent Network,Luxor,Luxor
C000103,Maya,Ashraf,Female,1990,Mass,Verified,2022-01-08,Referral,Alexandria,Agami - Central
C000104,Karim,Rizk,Male,1991,Affluent,Pending Review,2026-01-18,Referral,Assiut,Assiut - Central
C000105,Amr,Salah,Male,1989,Mass,Verified,2024-11-14,Paid Social,Gharbia,Tanta - Central
C000106,Nour,Farag,Female,1982,Mass,Verified,2022-09-05,Merchant Referral,Giza,Sheikh Zayed
C000107,Rania,Ali,Female,1999,Mass,Verified,2024-09-30,Referral,Giza,Haram
C000108,Jana,Mansour,Female,2002,Youth,Verified,2024-11-13,Paid Social,Sohag,Girga
C000109,Youssef,Farag,Male,2006,Youth,Verified,2024-08-06,Paid Social,Giza,6th of October - Central
C000110,Rana,Fathy,Female,2003,Youth,Verified,2022-03-24,Referral,South Sinai,El Tor
C000111,Reem,Mansour,Female,1991,Mass,Verified,2022-10-18,Agent Network,Gharbia,El Mahalla El Kubra
C000112,Ali,Fouad,Male,1993,Affluent,Verified,2024-11-07,Organic,Cairo,New Cairo
C000113,Salma,Gaber,Female,1992,Affluent,Verified,2024-08-12,Referral,Giza,Haram - Central
C000114,Hassan,Ali,Male,2000,Youth,Verified,2026-06-01,Paid Social,Giza,Imbaba - Central
C000115,Khaled,Kamal,Male,2003,Youth,Verified,2024-02-28,Merchant Referral,Fayoum,Ibshaway
C000116,Menna,Eid,Female,1984,Mass,Verified,2024-12-26,Referral,Minya,Samalut
C000117,Karim,Kamal,Male,2000,Youth,Verified,2022-04-13,Paid Social,Giza,6th of October - Central
C000118,Sherif,Fathy,Male,1980,Mass,Verified,2023-04-01,Paid Social,Cairo,Downtown - Central
C000119,Rania,Gaber,Female,2001,Youth,Verified,2022-03-16,Paid Social,Cairo,Shubra - Central
C000120,Mariam,Eid,Female,1999,Microbusiness,Verified,2025-01-22,Paid Social,Cairo,Nasr City - Central
C000121,Mariam,Ibrahim,Female,1979,Mass,Verified,2022-03-27,Agent Network,Sharqia,Zagazig
C000122,Mohamed,Shawky,Male,1999,Youth,Verified,2024-04-01,Organic,Matrouh,Marsa Matrouh
C000123,Aya,Ali,Female,1998,Youth,Verified,2022-01-24,Merchant Referral,Sharqia,Minya Al Qamh - Central
C000124,Ahmed,Abdelaziz,Male,1974,Affluent,Verified,2024-01-31,Referral,Giza,Haram - Central
C000125,Ali,Fathy,Male,1982,Mass,Verified,2022-08-30,Paid Social,Cairo,Nasr City
C000126,Rana,Hassan,Female,1996,Mass,Verified,2023-09-13,Corporate Campaign,Assiut,Dairut - Central
C000127,Nada,Mahmoud,Female,1999,Mass,Verified,2024-07-31,Organic,Damietta,Damietta
C000128,Mohamed,Soliman,Male,2003,Youth,Verified,2026-03-25,Corporate Campaign,Dakahlia,Talkha
C000129,Yasmin,Farag,Female,2005,Youth,Verified,2023-11-16,Organic,Alexandria,Borg El Arab - Central
C000130,Mostafa,Gaber,Male,1997,Youth,Verified,2023-10-10,Referral,Giza,Imbaba - Central
C000131,Hatem,Saad,Male,1984,Mass,Verified,2024-10-03,Merchant Referral,Sharqia,Minya Al Qamh
C000132,Nada,Nassar,Female,1982,Mass,Verified,2023-05-11,Paid Social,Luxor,Luxor
C000133,Mostafa,Fathy,Male,1999,Mass,Verified,2025-10-10,Organic,Giza,Mohandessin - Central
C000134,Nour,Fouad,Female,2006,Youth,Verified,2022-10-04,Referral,Cairo,New Cairo - Central
C000135,Amr,Mansour,Male,1982,Mass,Verified,2023-10-14,Agent Network,Assiut,Manfalut - Central
C000136,Mariam,Eid,Female,1988,Mass,Verified,2024-08-20,Corporate Campaign,Giza,Sheikh Zayed
C000137,Mina,Mostafa,Male,1987,Mass,Verified,2022-12-23,Merchant Referral,Giza,Dokki
C000138,Ahmed,Kamal,Male,2004,Youth,Verified,2023-03-06,Corporate Campaign,Giza,Haram - Central
C000139,Mariam,Helmy,Female,1983,Affluent,Verified,2022-07-14,Agent Network,Cairo,Maadi - Central
C000140,Khaled,Sayed,Male,1967,Affluent,Verified,2023-12-18,Corporate Campaign,Qalyubia,Qalyub - Central
C000141,Mina,Gaber,Male,2007,Youth,Verified,2024-10-17,Referral,Cairo,Downtown
C000142,Jana,Nassar,Female,1989,Mass,Verified,2024-04-22,Agent Network,Assiut,Dairut
C000143,Rana,Ashraf,Female,1967,Affluent,Verified,2022-11-06,Agent Network,Damietta,Damietta
C000144,Esraa,Sayed,Female,2007,Youth,Verified,2023-06-19,Referral,Giza,Faisal - Central
C000145,Ziad,Abdelrahman,Male,1978,Affluent,Verified,2023-08-17,Corporate Campaign,Giza,Sheikh Zayed
C000146,Karim,Gaber,Male,1997,Mass,Verified,2022-09-26,Paid Social,Cairo,Nasr City - Central
C000147,Hager,Salah,Female,1986,Mass,Verified,2022-01-23,Merchant Referral,Beheira,Rashid - Central
C000148,Rana,Shawky,Female,1998,Mass,Verified,2023-11-21,Agent Network,Cairo,Maadi - Central
C000149,Youssef,Mostafa,Male,1968,Affluent,Verified,2025-12-12,Organic,Alexandria,Agami
C000150,Nancy,Soliman,Female,1990,Mass,Verified,2022-05-21,Referral,Fayoum,Sinnuris
C000151,Hassan,Ibrahim,Male,1971,Affluent,Verified,2022-03-05,Paid Social,Alexandria,Borg El Arab - Central
C000152,Farah,Salah,Female,1995,Microbusiness,Verified,2023-06-06,Organic,Cairo,Shubra
C000153,Sara,Ali,Female,1991,Mass,Verified,2024-03-16,Organic,Fayoum,Sinnuris - Central
C000154,Salma,Ashraf,Female,1998,Mass,Verified,2024-10-17,Referral,Alexandria,Miami - Central
C000155,Esraa,Rizk,Female,1983,Affluent,Verified,2022-10-30,Paid Social,Alexandria,Smouha
C000156,Ahmed,Shawky,Male,1993,Affluent,Verified,2023-02-23,Referral,Giza,Faisal - Central
C000157,Dina,Farag,Female,1990,Mass,Verified,2022-09-17,Paid Social,Gharbia,Kafr El Zayat
C000158,Omar,Samir,Male,1974,Affluent,Verified,2026-04-21,Agent Network,Cairo,Shubra
C000159,Mahmoud,Abdelaziz,Male,1984,Mass,Verified,2024-12-08,Agent Network,Alexandria,Miami
C000160,Yasmin,Helmy,Female,2005,Youth,Verified,2023-01-04,Paid Social,Alexandria,Stanley - Central
C000161,Omar,Fouad,Male,1992,Mass,Verified,2023-06-30,Merchant Referral,Cairo,Maadi - Central
C000162,Ibrahim,Soliman,Male,1970,Affluent,Verified,2022-09-11,Organic,Monufia,Ashmoun - Central
C000163,Rania,Eid,Female,1999,Youth,Verified,2023-04-05,Paid Social,South Sinai,Sharm El Sheikh
C000164,Nour,Mansour,Female,1990,Mass,Verified,2026-06-10,Organic,Gharbia,Tanta
C000165,Ahmed,Eid,Male,1984,Mass,Pending Review,2023-07-24,Paid Social,Giza,Haram - Central
C000166,Sara,Mansour,Female,1983,Mass,Verified,2026-01-10,Agent Network,Sharqia,Zagazig - Central
C000167,Aya,Saad,Female,1997,Youth,Pending Review,2025-06-03,Organic,Sharqia,Minya Al Qamh
C000168,Farah,Saad,Female,1975,Microbusiness,Verified,2022-07-13,Organic,Alexandria,Miami
C000169,Omar,Abdelaziz,Male,1991,Affluent,Verified,2022-02-14,Organic,Qalyubia,Obour - Central
C000170,Aya,Ashraf,Female,2000,Mass,Verified,2025-10-14,Paid Social,Gharbia,Zefta
C000171,Dina,Shawky,Female,1984,Mass,Verified,2024-03-23,Referral,Kafr El Sheikh,Desouk - Central
C000172,Ibrahim,Samir,Male,1975,Mass,Verified,2026-02-16,Paid Social,Beni Suef,Nasser
C000173,Ahmed,Nassar,Male,2007,Youth,Verified,2023-09-23,Paid Social,Cairo,Downtown - Central
C000174,Amr,Mostafa,Male,2000,Mass,Verified,2022-12-27,Agent Network,Cairo,Downtown
C000175,Aya,Abdelrahman,Female,1999,Youth,Verified,2023-06-30,Merchant Referral,Beheira,Rashid - Central
C000176,Yasmin,Abdelaziz,Female,1999,Youth,Verified,2023-09-13,Paid Social,Alexandria,Miami - Central
C000177,Yasmin,Fouad,Female,2003,Youth,Verified,2024-03-09,Agent Network,Luxor,Esna
C000178,Fady,Saad,Male,1993,Affluent,Verified,2023-03-04,Paid Social,Alexandria,Sidi Gaber - Central
C000179,Esraa,Kamal,Female,1999,Mass,Verified,2023-10-31,Organic,Cairo,Maadi - Central
C000180,Mostafa,Mahmoud,Male,1978,Affluent,Verified,2024-12-13,Referral,Giza,Imbaba
C000181,Ibrahim,Ibrahim,Male,1997,Youth,Verified,2022-05-01,Agent Network,Cairo,Nasr City - Central
C000182,Ahmed,Eid,Male,1981,Microbusiness,Verified,2022-02-15,Agent Network,Sharqia,Abu Hammad
C000183,Mona,Ashraf,Female,1996,Youth,Verified,2023-05-14,Paid Social,Sohag,Girga
C000184,Khaled,Kamal,Male,1998,Microbusiness,Verified,2024-02-19,Organic,Aswan,Aswan
C000185,Mahmoud,Abdelaziz,Male,1984,Mass,Verified,2022-05-27,Organic,Giza,6th of October
C000186,Ahmed,Mansour,Male,1983,Mass,Verified,2025-07-22,Referral,Qalyubia,Obour
C000187,Dina,Ashraf,Female,1990,Mass,Verified,2023-09-19,Organic,Cairo,New Cairo - Central
C000188,Farah,Eid,Female,1982,Mass,Verified,2024-09-03,Agent Network,Port Said,Port Said - Central
C000189,Maya,Ashraf,Female,2004,Youth,Verified,2024-10-17,Merchant Referral,Gharbia,El Mahalla El Kubra - Central
C000190,Rana,Helmy,Female,2007,Youth,Verified,2023-11-13,Merchant Referral,Monufia,Ashmoun - Central
C000191,Farah,Shawky,Female,1990,Mass,Verified,2023-08-30,Organic,Sohag,Tahta
C000192,Hatem,Shawky,Male,2000,Youth,Verified,2025-06-21,Referral,Cairo,Maadi
C000193,Sara,Sayed,Female,1984,Mass,Verified,2023-01-10,Paid Social,Gharbia,Tanta
C000194,Yassin,Soliman,Male,1997,Mass,Verified,2023-03-19,Organic,Gharbia,Tanta - Central
C000195,Hager,Farag,Female,1991,Mass,Verified,2023-11-23,Merchant Referral,Giza,6th of October - Central
C000196,Tarek,Helmy,Male,2004,Youth,Verified,2023-11-25,Merchant Referral,Giza,Sheikh Zayed
C000197,Ali,Salah,Male,1985,Mass,Verified,2023-08-27,Referral,Beni Suef,New Beni Suef
C000198,Tarek,Soliman,Male,1999,Youth,Verified,2023-12-15,Merchant Referral,Qalyubia,Obour
C000199,Sherif,Mostafa,Male,1987,Mass,Verified,2022-07-18,Organic,Cairo,Mokattam - Central
C000200,Mostafa,Farag,Male,1997,Youth,Verified,2023-09-20,Paid Social,Qalyubia,Obour - Central
C000201,Ziad,Samir,Male,1999,Youth,Verified,2022-06-15,Organic,Monufia,Shebin El Kom
C000202,Mostafa,Eid,Male,1997,Mass,Verified,2025-05-07,Merchant Referral,Giza,Dokki - Central
C000203,Menna,Abdelaziz,Female,1985,Mass,Verified,2024-09-03,Referral,Qalyubia,Banha - Central
C000204,Hassan,Samir,Male,1995,Mass,Pending Review,2023-12-23,Merchant Referral,Giza,Sheikh Zayed - Central
C000205,Mona,Saad,Female,1984,Mass,Pending Review,2022-05-11,Agent Network,Alexandria,Smouha
C000206,Menna,Rizk,Female,1994,Mass,Verified,2022-04-26,Merchant Referral,Beni Suef,New Beni Suef - Central
C000207,Heba,Mansour,Female,2001,Mass,Verified,2022-05-06,Referral,Giza,Mohandessin - Central
C000208,Ibrahim,Rizk,Male,1987,Mass,Verified,2023-04-04,Organic,Beheira,Damanhur
C000209,Tarek,Mahmoud,Male,1996,Youth,Verified,2022-04-06,Agent Network,Qalyubia,Shubra El Kheima
C000210,Hassan,Ali,Male,1983,Mass,Verified,2022-03-14,Paid Social,Cairo,Nasr City
C000211,Mohamed,Soliman,Male,1988,Affluent,Verified,2024-06-21,Referral,Alexandria,Agami - Central
C000212,Hassan,Helmy,Male,1999,Youth,Verified,2023-04-19,Corporate Campaign,Cairo,Ain Shams
C000213,Tarek,Soliman,Male,1993,Mass,Verified,2024-04-19,Organic,Alexandria,Miami
C000214,Reem,Ibrahim,Female,1996,Mass,Verified,2022-10-27,Organic,Sharqia,Minya Al Qamh
C000215,Hager,Soliman,Female,1993,Mass,Verified,2022-12-14,Corporate Campaign,Dakahlia,Mansoura
C000216,Yasmin,Fouad,Female,2000,Mass,Verified,2024-05-28,Merchant Referral,Cairo,Shubra - Central
C000217,Jana,Shawky,Female,1990,Affluent,Verified,2025-02-16,Organic,Cairo,Mokattam - Central
C000218,Rana,Abdelrahman,Female,1985,Mass,Verified,2023-05-15,Organic,Giza,Mohandessin
C000219,Mostafa,Abdelrahman,Male,1983,Microbusiness,Verified,2026-05-16,Referral,Gharbia,Zefta - Central
C000220,Karim,Gaber,Male,1979,Mass,Verified,2026-05-19,Agent Network,Qalyubia,Banha
C000221,Hager,Sayed,Female,1991,Mass,Verified,2023-03-18,Merchant Referral,Giza,Faisal
C000222,Ali,Eid,Male,1982,Mass,Verified,2024-09-07,Referral,Damietta,Ras El Bar
C000223,Rana,Hassan,Female,1991,Mass,Verified,2023-03-12,Merchant Referral,Sharqia,Abu Hammad - Central
C000224,Tarek,Fouad,Male,1991,Affluent,Restricted,2026-03-01,Organic,Cairo,Shubra
C000225,Hager,Gaber,Female,1998,Mass,Verified,2026-01-31,Referral,Cairo,Nasr City
C000226,Hager,Sayed,Female,1984,Mass,Verified,2023-05-24,Organic,Giza,Imbaba - Central
C000227,Ibrahim,Hassan,Male,2007,Youth,Verified,2023-08-11,Merchant Referral,Alexandria,Sidi Gaber - Central
C000228,Ahmed,Ahmed,Male,2003,Youth,Verified,2024-05-29,Merchant Referral,Cairo,Nasr City
C000229,Mohamed,Nassar,Male,1996,Youth,Verified,2023-01-10,Organic,Cairo,New Cairo - Central
C000230,Hatem,Gaber,Male,2001,Mass,Verified,2022-12-25,Organic,Alexandria,Smouha - Central
C000231,Menna,Ahmed,Female,2007,Youth,Verified,2025-07-12,Organic,Alexandria,Agami - Central
C000232,Reem,Mansour,Female,1983,Mass,Verified,2025-03-02,Paid Social,Cairo,Mokattam - Central
C000233,Maya,Soliman,Female,2000,Mass,Verified,2025-01-08,Agent Network,Cairo,Shubra
C000234,Rania,Fouad,Female,2001,Mass,Verified,2022-04-22,Referral,Sharqia,Minya Al Qamh - Central
C000235,Ali,Gaber,Male,1988,Mass,Verified,2023-01-11,Paid Social,Cairo,Ain Shams
C000236,Salma,Shawky,Female,2000,Youth,Verified,2024-10-18,Corporate Campaign,Sharqia,Minya Al Qamh
C000237,Ahmed,Gaber,Male,1998,Youth,Verified,2022-01-13,Referral,Giza,Imbaba
C000238,Amr,Soliman,Male,1966,Affluent,Verified,2024-12-15,Referral,Beheira,Kafr El Dawwar
C000239,Jana,Ibrahim,Female,2007,Youth,Verified,2023-02-20,Organic,Alexandria,Agami
C000240,Ibrahim,Mahmoud,Male,1981,Mass,Verified,2022-02-22,Referral,Giza,Faisal
C000241,Ahmed,Fouad,Male,1976,Mass,Verified,2024-01-18,Merchant Referral,Gharbia,Tanta
C000242,Youssef,Soliman,Male,1985,Mass,Verified,2022-05-08,Referral,Qena,Qus
C000243,Sara,Fouad,Female,1999,Youth,Verified,2024-01-06,Organic,Damietta,New Damietta
C000244,Ahmed,Ibrahim,Male,1977,Mass,Verified,2023-10-27,Merchant Referral,Giza,Haram - Central
C000245,Farah,Ahmed,Female,1998,Youth,Verified,2024-03-13,Corporate Campaign,Monufia,Ashmoun - Central
C000246,Karim,Mahmoud,Male,1996,Mass,Verified,2025-09-11,Referral,Assiut,New Assiut
C000247,Reem,Sayed,Female,1999,Mass,Verified,2024-05-12,Referral,Giza,Mohandessin - Central
C000248,Ali,Kamal,Male,1977,Mass,Verified,2025-08-13,Referral,Cairo,Maadi
C000249,Sara,Nassar,Female,1987,Affluent,Verified,2023-12-26,Referral,Giza,6th of October - Central
C000250,Mariam,Saad,Female,1980,Mass,Verified,2022-09-03,Referral,Dakahlia,Aga - Central
C000251,Sherif,Sayed,Male,1979,Mass,Verified,2022-10-04,Paid Social,Suez,Ain Sokhna - Central
C000252,Tarek,Abdelaziz,Male,1999,Mass,Verified,2024-09-01,Organic,Alexandria,Borg El Arab - Central
C000253,Menna,Ali,Female,1985,Mass,Verified,2024-05-03,Referral,Assiut,New Assiut - Central
C000254,Peter,Ali,Male,2001,Mass,Verified,2024-06-17,Referral,Suez,Suez
C000255,Tarek,Mostafa,Male,1981,Mass,Verified,2022-08-28,Organic,Dakahlia,Mansoura
C000256,Mohamed,Farag,Male,2004,Youth,Verified,2023-12-30,Paid Social,Dakahlia,Aga
C000257,Hassan,Eid,Male,1987,Mass,Verified,2024-08-12,Paid Social,Giza,Mohandessin
C000258,Aya,Salah,Female,2001,Mass,Verified,2026-05-21,Agent Network,Dakahlia,Belqas
C000259,Rana,Abdelaziz,Female,1969,Affluent,Verified,2022-06-20,Organic,Giza,Imbaba - Central
C000260,Yasmin,Samir,Female,1996,Youth,Verified,2025-06-17,Referral,Qalyubia,Obour
